top_level_category,subcategory,product_name,image_url,product_url,price
special-buys,special-buys-liquor,South of Somewhere Pale Ale 24 x 330ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/LIQUOR/WK16_SPECIAL_BUYS_LIQUOR_1x1_2.jpg,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/south-of-somewhere-pale-ale-24-x-330ml/,$39.95
special-buys,special-buys-liquor,Mac’s Hop Rocker 12 x 330ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/LIQUOR/WK16_SPECIAL_BUYS_LIQUOR_1x1_3.jpg,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/macs-hop-rocker-12-x-330ml/,$26.99
special-buys,special-buys-liquor,Steinlager Classic 12 x 330ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/LIQUOR/WK16_SPECIAL_BUYS_LIQUOR_1x1_4.jpg,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/steinlager-classic-12-x-330ml-1/,$24.99
special-buys,special-buys-liquor,Speight's Summit 12 x 330ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/LIQUOR/WK16_SPECIAL_BUYS_LIQUOR_1x1_5_01.jpg,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/speights-summit-12-x-330ml/,$22.99
special-buys,special-buys-liquor,Mythos 6 x 330ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/LIQUOR/WK16_SPECIAL_BUYS_LIQUOR_1x1_14.jpg,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/mythos-6-x-330ml-1/,$12.99
special-buys,special-buys-liquor,Mythos 24 x 330ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/LIQUOR/WK16_SPECIAL_BUYS_LIQUOR_1x1_15.jpg,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/mythos-24-x-330ml-1/,$45.99
special-buys,special-buys-liquor,St Hallet Faith Shiraz 2017 750ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/LIQUOR/WK16_SPECIAL_BUYS_LIQUOR_1x1_6.jpg,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/st-hallet-faith-shiraz-2017-750ml/,$12.89
special-buys,special-buys-liquor,Edwin & Hutt Marlborough Sauvignon Blanc 2018 6 x 750ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/LIQUOR/WK16_SPECIAL_BUYS_LIQUOR_1x1_7.jpg,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/edwin-hutt-marlborough-sauvignon-blanc-2018-6-x-75/,$29.99
special-buys,special-buys-liquor,Edwin & Hutt South Australia Shiraz 2016 6 x 750ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/LIQUOR/WK16_SPECIAL_BUYS_LIQUOR_1x1_8.jpg,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/edwin-hutt-south-australia-shiraz-2016-6-x-750ml/,$29.99
special-buys,special-buys-liquor,Houghton White Classic 2018 or Houghton Classic Shiraz 2016 750ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/LIQUOR/WK16_SPECIAL_BUYS_LIQUOR_1x1_9.jpg,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/houghton-white-classic-2018-or-houghton-classic-sh/,$6.95
